orderNumber,customerIdentifier,customerName,status,orderCreateTimestamp,orderActiveTimestamp,orderSubmitTimestamp,orderCompleteTimestamp,orderType,productType,area,longitude,latitude,collectionVehicles,combined,archiveTasking,publicPrivate,multistrip,responsiveness,completeDate,orderDescription,catId,sqkm,charge,chargeS,orderNotes,country
50354788010,100436,DAF75,Complete,2025-07-28T07:54:49.0000 UTC,2025-07-28T07:55:27.6310 UTC,2025-07-28T07:54:49.0000 UTC,2025-07-28T08:00:06.3090 UTC,AO,OR2A,12.558,140.71408888846165,-7.09294174949122,WV02,WV02,ARCHIVE,Public,N,Standard,7/28/2025,View-Ready (Standard) OR2A,103001010B13CC00,12.56,12.56,0.027,N,Indonesia
50354785010,100436,DAF75,Complete,2025-07-28T07:49:55.0000 UTC,2025-07-28T07:50:20.6890 UTC,2025-07-28T07:49:55.0000 UTC,2025-07-28T07:56:09.1990 UTC,AO,OR2A,12.558,140.60126388842107,-6.6505278551307,LG02,LG02,ARCHIVE,Public,N,Standard,7/28/2025,View-Ready (Standard) OR2A,B120001100DBB200,12.56,12.56,0.034,N,Indonesia
50352143010,100436,DAF75,Complete,2025-07-18T09:24:33.0000 UTC,2025-07-18T09:29:45.5550 UTC,2025-07-18T09:24:33.0000 UTC,2025-07-18T09:32:26.2090 UTC,AO,OR2A,3.857,140.99708392500003,-2.6085954999999994,WV02,WV02,ARCHIVE,Public,N,Fresh,7/18/2025,View-Ready (Standard) OR2A,1030010114745A00,3.86,3.86,0.008,N,Indonesia
50352134010,100436,DAF75,Complete,2025-07-18T08:04:41.0000 UTC,2025-07-18T08:05:16.5100 UTC,2025-07-18T08:04:41.0000 UTC,2025-07-18T08:09:38.0330 UTC,AO,OR2A,1.187,140.776430505,-8.938713135,WV03,WV03,ARCHIVE,Public,N,Standard,7/18/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,1.19,1.19,0.002,N,Indonesia
50351772010,100436,DAF75,Complete,2025-07-17T06:07:01.0000 UTC,2025-07-17T06:07:31.9980 UTC,2025-07-17T06:07:01.0000 UTC,2025-07-17T06:17:37.3730 UTC,AO,2A,79.992,109.95869598719786,1.3363988330733532,WV03,WV03,ARCHIVE,Public,N,Standard,7/17/2025,View-Ready (Standard) 2A,104001009C0D5800,79.99,79.99,0.155,N,Indonesia
50349721010,100436,DAF75,Complete,2025-07-10T03:06:03.0000 UTC,2025-07-10T03:09:54.8170 UTC,2025-07-10T03:06:03.0000 UTC,2025-07-10T03:18:07.7810 UTC,AO,2A,237.04,113.31247380017766,8.187845236941977,LG02,LG02,ARCHIVE,Public,N,Standard,7/10/2025,View-Ready (Standard) 2A,B120001101013900,237.04,237.04,0.638,N,Spratly Islands
50348904010,100436,DAF75,Complete,2025-07-08T05:59:20.0000 UTC,2025-07-08T05:59:43.4520 UTC,2025-07-08T05:59:20.0000 UTC,2025-07-08T06:05:00.0450 UTC,AO,OR2A,1.574,106.85205218,-6.26880943,WV03,WV03,ARCHIVE,Public,N,Fresh,7/8/2025,View-Ready (Standard) OR2A,10400100A6488000,1.57,1.57,0.003,N,Indonesia
50348625010,100436,DAF75,Complete,2025-07-07T02:04:01.0000 UTC,2025-07-07T02:04:37.2730 UTC,2025-07-07T02:04:01.0000 UTC,2025-07-07T02:11:20.2280 UTC,AO,OR2A,82.929,111.67452624000002,8.66598141,LG04,LG04,ARCHIVE,Public,N,Fresh,7/7/2025,View-Ready (Standard) OR2A,B14000110119C000,82.93,82.93,0.223,N,Spratly Islands
50348622010,100436,DAF75,Complete,2025-07-07T02:02:04.0000 UTC,2025-07-07T02:04:19.9700 UTC,2025-07-07T02:02:04.0000 UTC,2025-07-07T02:10:57.9170 UTC,AO,OR2A,114.628,112.22527759,8.86163281,WV02,WV02,ARCHIVE,Public,N,Fresh,7/7/2025,View-Ready (Standard) OR2A,1030010114AABB00,114.63,114.63,0.247,N,Spratly Islands
50348620010,100436,DAF75,Complete,2025-07-07T01:43:18.0000 UTC,2025-07-07T01:44:34.6510 UTC,2025-07-07T01:43:18.0000 UTC,2025-07-07T01:50:51.3000 UTC,AO,OR2A,20.86,112.35014792,8.930161125,WV02,WV02,ARCHIVE,Public,N,Fresh,7/7/2025,View-Ready (Standard) OR2A,103001011430A400,20.86,20.86,0.045,N,Spratly Islands
50348617010,100436,DAF75,Complete,2025-07-07T01:27:23.0000 UTC,2025-07-07T01:44:21.0130 UTC,2025-07-07T01:27:23.0000 UTC,2025-07-07T01:51:32.7780 UTC,AO,OR2A,55.871,112.83688600699146,8.862841963417418,WV03,WV03,ARCHIVE,Public,N,Fresh,7/7/2025,View-Ready (Standard) OR2A,10400100A6802600,55.87,55.87,0.108,N,Spratly Islands
50345103010,100436,DAF75,Complete,2025-06-24T08:47:06.0000 UTC,2025-06-24T08:47:34.9630 UTC,2025-06-24T08:47:06.0000 UTC,2025-06-24T08:54:58.6980 UTC,AO,OR2A,7.128,51.828017785,32.58027825999999,WV03,WV03,ARCHIVE,Public,N,Fresh,6/24/2025,View-Ready (Standard) OR2A,10400100A70ADF00,7.13,7.13,0.014,N,Iran (Islamic Republic of)
50345100010,100436,DAF75,Complete,2025-06-24T08:43:00.0000 UTC,2025-06-24T08:44:40.2340 UTC,2025-06-24T08:43:00.0000 UTC,2025-06-24T08:50:52.0120 UTC,AO,OR2A,7.128,51.82771737499999,32.580224025,LG04,LG04,ARCHIVE,Public,N,Fresh,6/24/2025,View-Ready (Standard) OR2A,B14000110124AB00,7.13,7.13,0.019,N,Iran (Islamic Republic of)
50345073010,100436,DAF75,Complete,2025-06-24T02:41:08.0000 UTC,2025-06-24T02:41:30.0110 UTC,2025-06-24T02:41:08.0000 UTC,2025-06-24T10:35:37.6670 UTC,AO,2A,1.009,106.29392622,2.63311196,WV02,WV02,ARCHIVE,Public,N,Standard,6/24/2025,View-Ready (Standard) 2A,10300100C7419E00,1.01,1.01,0.002,N,Indonesia
50345070010,100436,DAF75,Complete,2025-06-24T02:21:48.0000 UTC,2025-06-24T02:22:11.8110 UTC,2025-06-24T02:21:48.0000 UTC,2025-06-24T10:34:55.4410 UTC,AO,OR2A,2.581,106.299769785,2.6321403200000004,WV02,WV02,ARCHIVE,Public,N,Standard,6/24/2025,View-Ready (Standard) OR2A,10300100C7419E00,2.58,2.58,0.006,N,Indonesia
