Archive/Tasking,Public/Private,Multistrip,Responsiveness,Order Number,Complete Date,Order Description,CAT ID,Sqkm,Charge ($),Charge (s),Order Notes
ARCHIVE,Public,N,Fresh,050275419010,1/1/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,659.260,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275564010,1/2/2025,View-Ready (Standard) OR2A,104001009F62F200,19.060,$19.06,00:00:00.037,N
ARCHIVE,Public,N,Fresh,050275565010,1/2/2025,View-Ready (Standard) 2A,104001009F62F200,357.770,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275566010,1/2/2025,View-Ready (Standard) 2A,B120001100E22C00,323.730,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275567010,1/2/2025,View-Ready (Standard) OR2A,B120001100E22C00,24.250,$24.25,00:00:00.065,N
ARCHIVE,Public,N,Fresh,050275568010,1/2/2025,View-Ready (Standard) 2A,104001009FB93B00,459.810,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275569010,1/2/2025,View-Ready (Standard) OR2A,104001009FB93B00,1.960,$1.96,00:00:00.004,N
ARCHIVE,Public,N,Fresh,050275580010,1/2/2025,View-Ready (Standard) OR2A,10300101074C9300,37.190,$37.19,00:00:00.080,N
ARCHIVE,Public,N,Fresh,050275581010,1/2/2025,View-Ready (Standard) 2A,10300101074C9300,2126.750,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275582010,1/2/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,320.940,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275583010,1/2/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,19.940,$19.94,00:00:00.043,N
ARCHIVE,Public,N,Fresh,050275584010,1/2/2025,View-Ready (Standard) OR2A,B120001100BB3F00,26.420,$26.42,00:00:00.071,N
ARCHIVE,Public,N,Fresh,050275585010,1/2/2025,View-Ready (Standard) 2A,B120001100BB3F00,1912.850,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275586010,1/2/2025,View-Ready (Standard) OR2A,104001009EB21D00,58.560,$58.56,00:00:00.113,N
ARCHIVE,Public,N,Fresh,050275587010,1/2/2025,View-Ready (Standard) 2A,104001009EB21D00,211.900,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275588010,1/2/2025,View-Ready (Standard) 2A,103001010AA08200,416.610,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275589010,1/2/2025,View-Ready (Standard) OR2A,103001010AA08200,19.930,$19.93,00:00:00.043,N
ARCHIVE,Public,N,Fresh,050275592010,1/2/2025,View-Ready (Standard) OR2A,B110001100D7FD00,21.430,$21.43,00:00:00.058,N
ARCHIVE,Public,N,Fresh,050275593010,1/2/2025,View-Ready (Standard) 2A,B110001100D7FD00,1384.470,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275595010,1/2/2025,View-Ready (Standard) OR2A,B12000110065C300,22.060,$22.06,00:00:00.059,N
ARCHIVE,Public,N,Fresh,050275596010,1/2/2025,View-Ready (Standard) 2A,B12000110065C300,1059.520,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275597010,1/2/2025,View-Ready (Standard) OR2A,B110001100E52300,26.440,$26.44,00:00:00.071,N
ARCHIVE,Public,N,Fresh,050275598010,1/2/2025,View-Ready (Standard) 2A,B110001100E52300,294.300,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275599010,1/2/2025,View-Ready (Standard) OR2A,B120001100E71200,22.720,$22.72,00:00:00.061,N
ARCHIVE,Public,N,Fresh,050275600010,1/2/2025,View-Ready (Standard) 2A,B120001100E71200,611.840,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050275601010,1/2/2025,View-Ready (Standard) 2A,B11000110062F900,737.250,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050275602010,1/2/2025,View-Ready (Standard) OR2A,B11000110062F900,1.750,$1.75,00:00:00.005,N
ARCHIVE,Public,N,Fresh,050275603010,1/2/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,1.190,$1.19,00:00:00.003,N
ARCHIVE,Public,N,Fresh,050275604010,1/2/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,1044.800,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275606010,1/2/2025,View-Ready (Standard) 2A,103001010B369700,863.220,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275607010,1/2/2025,View-Ready (Standard) OR2A,103001010B369700,1.650,$1.65,00:00:00.004,N
ARCHIVE,Public,N,Fresh,050275610010,1/2/2025,View-Ready (Standard) 2A,B110001100892200,149.620,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275611010,1/2/2025,View-Ready (Standard) OR2A,B110001100892200,6.520,$6.52,00:00:00.018,N
ARCHIVE,Public,N,Fresh,050275612010,1/2/2025,View-Ready (Standard) 2A,10400100A0411000,220.360,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275613010,1/2/2025,View-Ready (Standard) OR2A,10400100A0411000,22.390,$22.39,00:00:00.043,N
ARCHIVE,Public,N,Fresh,050275617010,1/2/2025,View-Ready (Standard) OR2A,1030010107A95B00,29.180,$29.18,00:00:00.063,N
ARCHIVE,Public,N,Fresh,050275618010,1/2/2025,View-Ready (Standard) 2A,1030010107A95B00,328.450,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275621010,1/2/2025,View-Ready (Standard) OR2A,1050010040075A00,1.400,$1.40,00:00:00.004,N
ARCHIVE,Public,N,Fresh,050275622010,1/2/2025,View-Ready (Standard) 2A,1050010040075A00,291.390,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275623010,1/2/2025,View-Ready (Standard) 2A,103001010AA7A400,521.440,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275624010,1/2/2025,View-Ready (Standard) OR2A,103001010AA7A400,53.340,$53.34,00:00:00.115,N
ARCHIVE,Public,N,Fresh,050275627010,1/2/2025,View-Ready (Standard) 2A,1030010108178C00,267.150,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275628010,1/2/2025,View-Ready (Standard) OR2A,1030010108178C00,19.780,$19.78,00:00:00.043,N
ARCHIVE,Public,N,Fresh,050275630010,1/2/2025,View-Ready (Standard) 2A,1030010107C14A00,1565.150,$0.00,00:00:00.000,Streaming. Do not charge.
