Archive/Tasking;Public/Private;Multistrip;Responsiveness;Order Number;Complete Date;Order Description;CAT ID;Sqkm;Charge ($);Charge (s);Order Notes
ARCHIVE;Public;N;Fresh;050345796010;6/26/2025;View-Ready (Standard) 2A;B120001101EDBB00;146.250;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050345103010;6/24/2025;View-Ready (Standard) OR2A;10400100A70ADF00;7.130;$7.13;00:00:00.014;N
ARCHIVE;Public;N;Fresh;050345102010;6/24/2025;View-Ready (Standard) 2A;10400100A70ADF00;489.700;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050345101010;6/24/2025;View-Ready (Standard) 2A;B14000110124AB00;169.910;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050345100010;6/24/2025;View-Ready (Standard) OR2A;B14000110124AB00;7.130;$7.13;00:00:00.019;N
ARCHIVE;Public;N;Standard;050345074010;6/24/2025;View-Ready (Standard) 2A;10300100C7419E00;2115.150;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050345073010;6/24/2025;View-Ready (Standard) 2A;10300100C7419E00;1.010;$1.01;00:00:00.002;N
ARCHIVE;Public;N;Standard;050345071010;6/24/2025;View-Ready (Standard) 2A;10300100C7419E00;2115.150;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050345070010;6/24/2025;View-Ready (Standard) OR2A;10300100C7419E00;2.580;$2.58;00:00:00.006;N
ARCHIVE;Public;N;Standard;050345069010;6/24/2025;View-Ready (Standard) 2A;10300100CB69A900;494.330;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050345068010;6/24/2025;View-Ready (Standard) OR2A;10300100CB69A900;4.800;$4.80;00:00:00.010;N
ARCHIVE;Public;N;Standard;050345066010;6/24/2025;View-Ready (Standard) 2A;10300100CB69A900;494.330;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050345067010;6/24/2025;View-Ready (Standard) OR2A;10300100CB69A900;9.010;$9.01;00:00:00.019;N
ARCHIVE;Public;N;Fresh;050345059010;6/24/2025;View-Ready (Standard) 2A;B13000110089C400;162.560;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050345058010;6/24/2025;View-Ready (Standard) OR2A;B13000110089C400;9.180;$9.18;00:00:00.025;N
ARCHIVE;Public;N;Fresh;050344882010;6/23/2025;View-Ready (Standard) 2A;B140001101218B00;180.760;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050344881010;6/23/2025;View-Ready (Standard) OR2A;B140001101218B00;9.180;$9.18;00:00:00.025;N
TASKING;Public;N;SelectPlus;050344879010;6/26/2025;View-Ready (Standard) OR2A;B120001101EDBB00;100.000;$4,360.00;00:00:11.731;N
ARCHIVE;Public;N;Standard;050344344010;6/20/2025;View-Ready (Standard) 2A;10300100AD9C0500;2181.020;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050344343010;6/20/2025;View-Ready (Standard) OR2A;10300100AD9C0500;14.280;$14.28;00:00:00.031;N
ARCHIVE;Public;N;Fresh;050344340010;6/20/2025;View-Ready (Standard) OR2A;B120001101941800;14.280;$14.28;00:00:00.038;N
ARCHIVE;Public;N;Fresh;050344339010;6/20/2025;View-Ready (Standard) 2A;B120001101941800;601.070;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050342317010;6/13/2025;View-Ready (Standard) 2A;103001010B369200;1278.160;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050342316010;6/13/2025;View-Ready (Standard) OR2A;103001010B369200;5.470;$5.47;00:00:00.012;N
ARCHIVE;Public;N;Fresh;050342055010;6/12/2025;View-Ready (Standard) OR2A;1030010114745A00;3.400;$3.40;00:00:00.007;N
ARCHIVE;Public;N;Fresh;050342054010;6/12/2025;View-Ready (Standard) 2A;1030010114745A00;1124.870;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050341993010;6/12/2025;View-Ready (Standard) 2A;10300100E53A5900;1062.620;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Standard;050341992010;6/12/2025;View-Ready (Standard) OR2A;10300100E53A5900;1.010;$1.01;00:00:00.002;N
ARCHIVE;Public;N;Fresh;050341974010;6/12/2025;View-Ready (Standard) 2A;B130001100BB6300;644.330;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341973010;6/12/2025;View-Ready (Standard) OR2A;B130001100BB6300;1.000;$1.00;00:00:00.003;N
ARCHIVE;Public;N;Fresh;050341389010;6/10/2025;View-Ready (Standard) OR2A;10500100424BDD00;263.650;$263.65;00:00:00.764;N
ARCHIVE;Public;N;Fresh;050341388010;6/10/2025;View-Ready (Standard) 2A;10500100424BDD00;1734.680;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341387010;6/10/2025;View-Ready (Standard) OR2A;10500100424BDE00;316.480;$316.48;00:00:00.917;N
ARCHIVE;Public;N;Fresh;050341386010;6/10/2025;View-Ready (Standard) 2A;10500100424BDE00;2136.950;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341385010;6/10/2025;View-Ready (Standard) 2A;10400100A624BA00;190.060;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341384010;6/10/2025;View-Ready (Standard) OR2A;10400100A624BA00;127.190;$127.19;00:00:00.246;N
ARCHIVE;Public;N;Fresh;050341383010;6/10/2025;View-Ready (Standard) 2A;B12000110175E500;245.420;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341382010;6/10/2025;View-Ready (Standard) OR2A;B12000110175E500;144.420;$144.42;00:00:00.389;N
ARCHIVE;Public;N;Fresh;050341379010;6/10/2025;View-Ready (Standard) 2A;1030010113C13F00;223.480;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341378010;6/10/2025;View-Ready (Standard) OR2A;1030010113C13F00;51.090;$51.09;00:00:00.110;N
ARCHIVE;Public;N;Fresh;050341377010;6/10/2025;View-Ready (Standard) 2A;10300101123B6F00;1067.640;$0.00;00:00:00.000;Streaming. Do not charge.
ARCHIVE;Public;N;Fresh;050341376010;6/10/2025;View-Ready (Standard) OR2A;10300101123B6F00;9.680;$9.68;00:00:00.021;N
