orderNumber,customerIdentifier,customerName,status,orderCreateTimestamp,orderActiveTimestamp,orderSubmitTimestamp,orderCompleteTimestamp,orderType,productType,area,longitude,latitude,spacecraft,archiveTasking,publicPrivate,multistrip,responsiveness,completeDate,orderDescription,catId,sqkm,charge,chargeS,orderNotes,country,timeToComplete,seconds
50354788010,100436,DAF75,Complete,2025-07-28 07:54:49,2025-07-28 07:55:27.631,2025-07-28 07:54:49,2025-07-28 08:00:06.309,AO,OR2A,12.558,140.71408888846165,-7.09294174949122,WV02,ARCHIVE,Public,N,Standard,2025-07-28,View-Ready (Standard) OR2A,103001010B13CC00,12.56,12.56,00:00:00.027,N,Indonesia,4.644633333333333,0.027
50354785010,100436,DAF75,Complete,2025-07-28 07:49:55,2025-07-28 07:50:20.689,2025-07-28 07:49:55,2025-07-28 07:56:09.199,AO,OR2A,12.558,140.60126388842107,-6.6505278551307,LG02,ARCHIVE,Public,N,Standard,2025-07-28,View-Ready (Standard) OR2A,B120001100DBB200,12.56,12.56,00:00:00.034,N,Indonesia,5.8084999999999996,0.034
50352143010,100436,DAF75,Complete,2025-07-18 09:24:33,2025-07-18 09:29:45.555,2025-07-18 09:24:33,2025-07-18 09:32:26.209,AO,OR2A,3.857,140.99708392500003,-2.6085954999999994,WV02,ARCHIVE,Public,N,Fresh,2025-07-18,View-Ready (Standard) OR2A,1030010114745A00,3.86,3.86,00:00:00.008,N,Indonesia,2.6775666666666664,0.008
50352134010,100436,DAF75,Complete,2025-07-18 08:04:41,2025-07-18 08:05:16.510,2025-07-18 08:04:41,2025-07-18 08:09:38.033,AO,OR2A,1.187,140.776430505,-8.938713135,WV03,ARCHIVE,Public,N,Standard,2025-07-18,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,1.19,1.19,00:00:00.002,N,Indonesia,4.358716666666667,0.002
50351772010,100436,DAF75,Complete,2025-07-17 06:07:01,2025-07-17 06:07:31.998,2025-07-17 06:07:01,2025-07-17 06:17:37.373,AO,2A,79.992,109.95869598719786,1.3363988330733532,WV03,ARCHIVE,Public,N,Standard,2025-07-17,View-Ready (Standard) 2A,104001009C0D5800,79.99,79.99,00:00:00.155,N,Indonesia,10.089583333333334,0.155
50349721010,100436,DAF75,Complete,2025-07-10 03:06:03,2025-07-10 03:09:54.817,2025-07-10 03:06:03,2025-07-10 03:18:07.781,AO,2A,237.04,113.31247380017766,8.187845236941977,LG02,ARCHIVE,Public,N,Standard,2025-07-10,View-Ready (Standard) 2A,B120001101013900,237.04,237.04,00:00:00.638,N,Spratly Islands,8.216066666666666,0.638
50348904010,100436,DAF75,Complete,2025-07-08 05:59:20,2025-07-08 05:59:43.452,2025-07-08 05:59:20,2025-07-08 06:05:00.045,AO,OR2A,1.574,106.85205218,-6.26880943,WV03,ARCHIVE,Public,N,Fresh,2025-07-08,View-Ready (Standard) OR2A,10400100A6488000,1.57,1.57,00:00:00.003,N,Indonesia,5.27655,0.003
50348625010,100436,DAF75,Complete,2025-07-07 02:04:01,2025-07-07 02:04:37.273,2025-07-07 02:04:01,2025-07-07 02:11:20.228,AO,OR2A,82.929,111.67452624000002,8.66598141,LG04,ARCHIVE,Public,N,Fresh,2025-07-07,View-Ready (Standard) OR2A,B14000110119C000,82.93,82.93,00:00:00.223,N,Spratly Islands,6.715916666666667,0.223
50348622010,100436,DAF75,Complete,2025-07-07 02:02:04,2025-07-07 02:04:19.970,2025-07-07 02:02:04,2025-07-07 02:10:57.917,AO,OR2A,114.628,112.22527759,8.86163281,WV02,ARCHIVE,Public,N,Fresh,2025-07-07,View-Ready (Standard) OR2A,1030010114AABB00,114.63,114.63,00:00:00.247,N,Spratly Islands,6.63245,0.247
50348620010,100436,DAF75,Complete,2025-07-07 01:43:18,2025-07-07 01:44:34.651,2025-07-07 01:43:18,2025-07-07 01:50:51.300,AO,OR2A,20.86,112.35014792,8.930161125,WV02,ARCHIVE,Public,N,Fresh,2025-07-07,View-Ready (Standard) OR2A,103001011430A400,20.86,20.86,00:00:00.045,N,Spratly Islands,6.2774833333333335,0.045
