Archive/Tasking;Public/Private;Multistrip;Responsiveness;Order Number;Complete Date;Order Description;Sqkm;Charge ($);Charge (s);Order Notes;Manual Calculation
ARCHIVE;Public;N;#NUM!;50266743010;45632;No Data;86.496;86.496;#N/A;N;
ARCHIVE;Public;N;Fresh;50275419010;45658;View-Ready (Standard) 2A;659.256;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275564010;45659;View-Ready (Standard) OR2A;19.057;19.06;4.26904E-07;N;
ARCHIVE;Public;N;Fresh;50275565010;45659;View-Ready (Standard) 2A;357.766;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275566010;45659;View-Ready (Standard) 2A;323.733;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275567010;45659;View-Ready (Standard) OR2A;24.246;24.25;7.55045E-07;N;
ARCHIVE;Public;N;Fresh;50275568010;45659;View-Ready (Standard) 2A;459.811;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275569010;45659;View-Ready (Standard) OR2A;1.964;1.96;4.39964E-08;N;
ARCHIVE;Public;N;Fresh;50275580010;45659;View-Ready (Standard) OR2A;37.194;37.19;9.29107E-07;N;
ARCHIVE;Public;N;Fresh;50275581010;45659;View-Ready (Standard) 2A;2126.752;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275582010;45659;View-Ready (Standard) 2A;320.939;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275583010;45659;View-Ready (Standard) OR2A;19.936;19.94;4.98002E-07;N;
ARCHIVE;Public;N;Fresh;50275584010;45659;View-Ready (Standard) OR2A;26.419;26.42;8.22714E-07;N;
ARCHIVE;Public;N;Fresh;50275585010;45659;View-Ready (Standard) 2A;1912.85;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275586010;45659;View-Ready (Standard) OR2A;58.562;58.56;1.31187E-06;N;
ARCHIVE;Public;N;Fresh;50275587010;45659;View-Ready (Standard) 2A;211.9;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275588010;45659;View-Ready (Standard) 2A;416.614;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275589010;45659;View-Ready (Standard) OR2A;19.925;19.93;4.97727E-07;N;
ARCHIVE;Public;N;Fresh;50275592010;45659;View-Ready (Standard) OR2A;21.427;21.43;6.67258E-07;N;
ARCHIVE;Public;N;Fresh;50275593010;45659;View-Ready (Standard) 2A;1384.468;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275595010;45659;View-Ready (Standard) OR2A;22.056;22.06;6.86846E-07;N;
ARCHIVE;Public;N;Fresh;50275596010;45659;View-Ready (Standard) 2A;1059.519;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275597010;45659;View-Ready (Standard) OR2A;26.442;26.44;8.2343E-07;N;
ARCHIVE;Public;N;Fresh;50275598010;45659;View-Ready (Standard) 2A;294.298;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275599010;45659;View-Ready (Standard) OR2A;22.722;22.72;7.07586E-07;N;
ARCHIVE;Public;N;Fresh;50275600010;45659;View-Ready (Standard) 2A;611.84;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Standard;50275601010;45659;View-Ready (Standard) 2A;737.254;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Standard;50275602010;45659;View-Ready (Standard) OR2A;1.75;1.75;5.44968E-08;N;
ARCHIVE;Public;N;Fresh;50275603010;45659;View-Ready (Standard) OR2A;1.19;1.19;#N/A;N;Manual
ARCHIVE;Public;N;Fresh;50275604010;45659;View-Ready (Standard) 2A;1044.802;0;#N/A;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275606010;45659;View-Ready (Standard) 2A;863.223;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275607010;45659;View-Ready (Standard) OR2A;1.654;1.65;4.13169E-08;N;
ARCHIVE;Public;N;Fresh;50275610010;45659;View-Ready (Standard) 2A;149.62;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275611010;45659;View-Ready (Standard) OR2A;6.517;6.52;2.02946E-07;N;
ARCHIVE;Public;N;Fresh;50275612010;45659;View-Ready (Standard) 2A;220.358;0;0;Streaming. Do not charge.;
ARCHIVE;Public;N;Fresh;50275613010;45659;View-Ready (Standard) OR2A;22.388;22.39;5.01523E-07;N;
